"income"	"GPA"	"region"	"interaction"
51.084	3	0	0
47.288	3	0	0
54.456	3	0	0
52.98	3	0	0
58.178	3.2	0	0
53.446	3.2	0	0
43.594	3.2	0	0
48.934	3.2	0	0
59.483	3.4	0	0
58.884	3.4	0	0
52.833	3.4	0	0
50.079	3.4	0	0
51.915	3.6	0	0
49.774	3.6	0	0
50.172	3.6	0	0
50.845	3.6	0	0
55.825	3.8	0	0
49.779	3.8	0	0
49.498	3.8	0	0
48.583	3.8	0	0
57.704	4	0	0
50.826	4	0	0
56.538	4	0	0
56.441	4	0	0
42.964	3	1	3
38.585	3	1	3
46.279	3	1	3
44.549	3	1	3
39.36	3.2	1	3.2
50.201	3.2	1	3.2
44.767	3.2	1	3.2
49.26	3.2	1	3.2
44.229	3.4	1	3.4
40.589	3.4	1	3.4
52.306	3.4	1	3.4
45.977	3.4	1	3.4
50.863	3.6	1	3.6
56.67	3.6	1	3.6
49.671	3.6	1	3.6
48.812	3.6	1	3.6
62.719	3.8	1	3.8
56.908	3.8	1	3.8
62.463	3.8	1	3.8
47.56	3.8	1	3.8
55.895	4	1	4
55.689	4	1	4
60.494	4	1	4
58.122	4	1	4
